CHANNEL_0_1
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
14  1554.039269    0.000070  0.000009  ...  0.000012  7.677366e+06  1.734087e+09
15  1554.039131    0.000068  0.000009  ...  0.000012  7.725748e+06  1.734087e+09
16  1554.039202    0.000071  0.000010  ...  0.000012  7.721266e+06  1.734087e+09
17  1554.039287    0.000066  0.000008  ...  0.000012  7.715455e+06  1.734087e+09
18  1554.039204    0.000067  0.000009  ...  0.000012  7.674714e+06  1.734087e+09
19  1554.039426    0.000069  0.000009  ...  0.000012  7.725959e+06  1.734086e+09
20  1554.039352    0.000067  0.000009  ...  0.000012  7.731665e+06  1.734086e+09
21  1554.039265    0.000072  0.000010  ...  0.000012  7.678197e+06  1.734086e+09
22  1554.039279    0.000070  0.000009  ...  0.000012  7.722934e+06  1.734086e+09
23  1554.039439    0.000069  0.000009  ...  0.000012  7.719742e+06  1.734086e+09
24  1554.039342    0.000068  0.000009  ...  0.000012  7.723493e+06  1.734086e+09
25  1554.039250    0.000068  0.000009  ...  0.000012  7.697486e+06  1.734086e+09

[26 rows x 13 columns]
CHANNEL_0_12
         cbragg  cbragg_err   credchi  ...  cdelta_n            cL     timestamp
0   1555.061251    0.000118  0.000036  ...  0.000012  7.639283e+06  1.734086e+09
1   1555.061382    0.000116  0.000035  ...  0.000012  7.635521e+06  1.734086e+09
2   1555.061162    0.000120  0.000037  ...  0.000012  7.634009e+06  1.734086e+09
3   1555.061322    0.000120  0.000037  ...  0.000012  7.623209e+06  1.734086e+09
4   1555.061156    0.000121  0.000038  ...  0.000012  7.639744e+06  1.734086e+09
5   1555.061188    0.000143  0.000051  ...  0.000012  7.690116e+06  1.734086e+09
6   1555.061201    0.000122  0.000038  ...  0.000012  7.630820e+06  1.734087e+09
7   1555.061037    0.000120  0.000037  ...  0.000012  7.614494e+06  1.734087e+09
8   1555.061214    0.000118  0.000036  ...  0.000012  7.629737e+06  1.734087e+09
9   1555.061168    0.000122  0.000038  ...  0.000012  7.641724e+06  1.734087e+09
10  1555.061091    0.000120  0.000037  ...  0.000012  7.641537e+06  1.734087e+09
11  1555.061009    0.000121  0.000038  ...  0.000012  7.634316e+06  1.734087e+09
12  1555.061289    0.000121  0.000037  ...  0.000012  7.622183e+06  1.734086e+09
13  1555.061095    0.000119  0.000037  ...  0.000012  7.633523e+06  1.734087e+09
